,City,Cloudiness,Country,Date,Humidity,Lat,Lon,MaxTemp,WindSpeed
0,bredasdorp,68,ZA,1553260507,60,-34.53,20.04,75,11.41
1,rikitea,44,PF,1553261100,100,-23.12,-134.97,78.49,14.12
2,ponta do sol,100,BR,1553261100,98,-20.63,-46,64.99,11.1
3,yellowknife,20,CA,1553261012,80,62.45,-114.38,30.2,9.17
4,bluff,44,AU,1553261100,51,-23.58,149.07,81.28,11.77
5,ribeira grande,40,PT,1553259600,82,38.52,-28.7,62.6,5.82
6,puerto ayora,8,EC,1553260508,98,-0.74,-90.35,75,2.71
7,esperance,20,TT,1553260649,74,10.24,-61.45,82.99,8.05
8,el bagre,80,CO,1553261101,97,7.6,-74.8,74.53,2.93
9,hobart,75,AU,1553261054,82,-42.88,147.33,62.6,8.05
10,busselton,0,AU,1553260930,44,-33.64,115.35,60.01,25.08
11,gao,64,ML,1553261101,17,16.28,-0.04,91.36,12.21
12,broome,75,GB,1553261080,81,52.47,1.45,54,14.99
13,hermanus,56,ZA,1553260507,66,-34.42,19.24,75,14
14,awbari,0,LY,1553261102,32,26.59,12.77,72.91,12.77
15,saleaula,,,,,,,,
16,los llanos de aridane,40,ES,1553260802,52,28.66,-17.92,69.8,16.11
17,ciro marina,0,IT,1553259000,63,39.37,17.13,62.6,14.99
18,vila franca do campo,40,PT,1553260948,82,37.72,-25.43,60.8,8.05
19,atuona,68,PF,1553261103,100,-9.8,-139.03,81.37,14.12
20,klichka,8,RU,1553261103,36,50.44,118,19.99,10.42
21,butaritari,88,KI,1553261103,100,3.07,172.79,79.21,5.73
22,kulhudhuffushi,8,MV,1553261103,100,6.62,73.07,84.97,8.63
23,benguela,0,AO,1553261103,81,-12.58,13.4,87.22,8.19
24,guerrero negro,36,MX,1553261104,99,27.97,-114.04,54.28,13.22
25,thompson,75,CA,1553259600,92,55.74,-97.86,12.2,3.36
26,ushuaia,75,AR,1553256000,93,-54.81,-68.31,44.6,3.36
27,clyde river,90,CA,1553259600,67,70.47,-68.59,-22.01,2.24
28,barrow,76,AR,1553261104,71,-38.31,-60.23,54.91,10.31
29,tura,0,IN,1553261105,58,25.52,90.21,78.13,4.94
30,kotra,0,IN,1553261105,18,25.81,79.31,89.92,13.22
31,storforshei,75,NO,1553259000,64,66.4,14.52,39.2,11.41
32,ulaangom,24,MN,1553261105,93,49.98,92.07,20.62,1.92
33,mar del plata,0,AR,1553261106,87,-46.43,-67.52,50.77,5.5
34,punta arenas,75,CL,1553260987,81,-53.16,-70.91,50,12.75
35,mumford,56,GH,1553261106,80,5.26,-0.76,85.78,11.99
36,fairbanks,1,US,1553260548,55,64.84,-147.72,39.2,6.93
37,paysandu,76,UY,1553260775,65,-32.32,-58.08,68,4
38,koslan,76,RU,1553261107,78,63.46,48.9,35.74,3.49
39,tsumeb,40,NA,1553259600,16,-19.25,17.72,93.2,3.36
40,clyde,32,NZ,1553260592,95,-45.19,169.32,52,2.59
41,antofagasta,0,CL,1553256000,72,-23.65,-70.4,64.4,2.24
42,tuktoyaktuk,75,CA,1553259600,84,69.44,-133.03,-2.21,8.05
43,faanui,0,PF,1553261107,100,-16.48,-151.75,84.07,9.75
44,albany,90,US,1553261105,86,42.65,-73.75,36,5.82
45,san quintin,20,PH,1553261108,70,17.54,120.52,75.97,2.71
46,mys shmidta,,,,,,,,
47,baiyin,0,CN,1553256000,35,36.55,104.13,41,4.47
48,nanortalik,88,GL,1553261108,96,60.14,-45.24,30.43,19.37
